,atom1,atom2,atom3,"D(1,2)","D(2,3)","D(1,3)",A(1),A(2),A(3)
380,5,11,12,4.913205979805852,2.2694953183472357,6.017496157040732,0.19946997822808127,-0.6432220761628643,0.9649117769124298
381,5,11,13,4.913205979805852,3.4712967317704235,6.32265529662973,0.19946997822808127,-0.9461381935071713,0.9992211610857475
382,5,11,14,4.913205979805852,4.558288384909406,7.640671698221299,0.19946997822808127,-0.15349141492847201,0.21169597151909875
383,5,11,15,4.913205979805852,4.004083041096928,5.548250715315591,0.19946997822808127,-0.650548125246604,0.7418746136713167
384,5,11,16,4.913205979805852,3.518694218030322,4.226424256981305,0.19946997822808127,-0.9297358223295418,-0.4670616089960777
385,5,12,13,6.017496157040732,1.334469932220279,6.32265529662973,0.9649117769124298,0.23413271805733255,0.9992211610857475
386,5,12,14,6.017496157040732,2.289044342078147,7.640671698221299,0.9649117769124298,-0.6580665085238463,0.21169597151909875
387,5,12,15,6.017496157040732,2.412521916998889,5.548250715315591,0.9649117769124298,-0.7457937780657458,0.7418746136713167
388,5,12,16,6.017496157040732,2.751724913576936,4.226424256981305,0.9649117769124298,-0.9249593354824822,-0.4670616089960777
389,5,13,14,6.32265529662973,1.3381681508689378,7.640671698221299,0.9992211610857475,0.23053569981341657,0.21169597151909875
390,5,13,15,6.32265529662973,1.4257994248841608,5.548250715315591,0.9992211610857475,0.14448936413220917,0.7418746136713167
391,5,13,16,6.32265529662973,2.365769642209487,4.226424256981305,0.9992211610857475,-0.7138449178722293,-0.4670616089960777
392,5,14,15,7.640671698221299,2.3980496241737788,5.548250715315591,0.21169597151909875,-0.7360749068078081,0.7418746136713167
393,5,14,16,7.640671698221299,3.59059020218125,4.226424256981305,0.21169597151909875,-0.9008826816584031,-0.4670616089960777
394,5,15,16,5.548250715315591,1.338229427265743,4.226424256981305,0.7418746136713167,0.23047607353295727,-0.4670616089960777
395,6,7,8,2.4313348185718846,1.51790579417828,3.053948755300254,-0.7581937852128153,0.052865876661780914,-0.9961617314468387
396,6,7,9,2.4313348185718846,2.523901939458029,4.51066137057527,-0.7581937852128153,-0.8152180616300908,-0.20036220610886377
397,6,7,10,2.4313348185718846,3.5715919419776965,5.331040986524114,-0.7581937852128153,-0.9089660463249608,0.5799375298109555
398,6,7,11,2.4313348185718846,3.8250388233323847,5.097981070973093,-0.7581937852128153,-0.7754011782906741,0.3761078195146524
399,6,7,12,2.4313348185718846,4.702560260113634,6.641138306043624,-0.7581937852128153,-0.009828562023293927,0.9366159681268831
400,6,7,13,2.4313348185718846,5.007295577454962,7.180709853489415,-0.7581937852128153,0.29065048073228733,0.62354715120743
401,6,7,14,2.4313348185718846,6.305556993636644,8.509812336356186,-0.7581937852128153,0.999749764259551,-0.6098178198761601
402,6,7,15,2.4313348185718846,4.3409612990672946,6.61146201683107,-0.7581937852128153,-0.3629461293102071,0.9465993587306915
403,6,7,16,2.4313348185718846,3.096187817300496,5.311224905800918,-0.7581937852128153,-0.9989693774998972,0.5636813388347258
404,6,8,9,3.053948755300254,1.5000043333270756,4.51066137057527,-0.9961617314468387,0.07073287919500554,-0.20036220610886377
405,6,8,10,3.053948755300254,2.5117565566750324,5.331040986524114,-0.9961617314468387,-0.8081240601016838,0.5799375298109555
406,6,8,11,3.053948755300254,2.762980274992929,5.097981070973093,-0.9961617314468387,-0.9291784385249969,0.3761078195146524
407,6,8,12,3.053948755300254,3.7506971352003373,6.641138306043624,-0.9961617314468387,-0.8201607024625039,0.9366159681268831
408,6,8,13,3.053948755300254,4.205015695571186,7.180709853489415,-0.9961617314468387,-0.48588311414604846,0.62354715120743
409,6,8,14,3.053948755300254,5.543062059908765,8.509812336356186,-0.9961617314468387,0.7383854489763142,-0.6098178198761601
410,6,8,15,3.053948755300254,3.717609043457907,6.61146201683107,-0.9961617314468387,-0.8386391208815646,0.9465993587306915
411,6,8,16,3.053948755300254,2.4769596282539634,5.311224905800918,-0.9961617314468387,-0.787143177204152,0.5636813388347258
412,6,9,10,4.51066137057527,1.402132661341289,5.331040986524114,-0.20036220610886377,0.16786512742452592,0.5799375298109555
413,6,9,11,4.51066137057527,2.2799923245484863,5.097981070973093,-0.20036220610886377,-0.6512238357562826,0.3761078195146524
414,6,9,12,4.51066137057527,2.377300990619405,6.641138306043624,-0.20036220610886377,-0.721872726022373,0.9366159681268831
415,6,9,13,4.51066137057527,2.7050822538325905,7.180709853489415,-0.20036220610886377,-0.9062325099489531,0.62354715120743
416,6,9,14,4.51066137057527,4.043187356529498,8.509812336356186,-0.20036220610886377,-0.6203600046736052,-0.6098178198761601
417,6,9,15,4.51066137057527,2.352245310336488,6.61146201683107,-0.20036220610886377,-0.7043087825698406,0.9465993587306915
418,6,9,16,4.51066137057527,1.3643012863733583,5.311224905800918,-0.20036220610886377,0.20503066760540342,0.5636813388347258
419,6,10,11,5.331040986524114,1.2385382513269452,5.097981070973093,0.5799375298109555,0.32617843545509523,0.3761078195146524
420,6,10,12,5.331040986524114,1.357930778795443,6.641138306043624,0.5799375298109555,0.2112616346720591,0.9366159681268831
421,6,10,13,5.331040986524114,2.3322191149203793,7.180709853489415,0.5799375298109555,-0.6899520355309156,0.62354715120743
422,6,10,14,5.331040986524114,3.5397406684671084,8.509812336356186,0.5799375298109555,-0.9217806110175106,-0.6098178198761601
423,6,10,15,5.331040986524114,2.7663625937320653,6.61146201683107,0.5799375298109555,-0.9304233326823877,0.9465993587306915
424,6,10,16,5.331040986524114,2.402117815595231,5.311224905800918,0.5799375298109555,-0.7388225672722095,0.5636813388347258
425,6,11,12,5.097981070973093,2.2694953183472357,6.641138306043624,0.3761078195146524,-0.6432220761628643,0.9366159681268831
426,6,11,13,5.097981070973093,3.4712967317704235,7.180709853489415,0.3761078195146524,-0.9461381935071713,0.62354715120743
427,6,11,14,5.097981070973093,4.558288384909406,8.509812336356186,0.3761078195146524,-0.15349141492847201,-0.6098178198761601
428,6,11,15,5.097981070973093,4.004083041096928,6.61146201683107,0.3761078195146524,-0.650548125246604,0.9465993587306915
429,6,11,16,5.097981070973093,3.518694218030322,5.311224905800918,0.3761078195146524,-0.9297358223295418,0.5636813388347258
430,6,12,13,6.641138306043624,1.334469932220279,7.180709853489415,0.9366159681268831,0.23413271805733255,0.62354715120743
431,6,12,14,6.641138306043624,2.289044342078147,8.509812336356186,0.9366159681268831,-0.6580665085238463,-0.6098178198761601
432,6,12,15,6.641138306043624,2.412521916998889,6.61146201683107,0.9366159681268831,-0.7457937780657458,0.9465993587306915
433,6,12,16,6.641138306043624,2.751724913576936,5.311224905800918,0.9366159681268831,-0.9249593354824822,0.5636813388347258
434,6,13,14,7.180709853489415,1.3381681508689378,8.509812336356186,0.62354715120743,0.23053569981341657,-0.6098178198761601
435,6,13,15,7.180709853489415,1.4257994248841608,6.61146201683107,0.62354715120743,0.14448936413220917,0.9465993587306915
436,6,13,16,7.180709853489415,2.365769642209487,5.311224905800918,0.62354715120743,-0.7138449178722293,0.5636813388347258
437,6,14,15,8.509812336356186,2.3980496241737788,6.61146201683107,-0.6098178198761601,-0.7360749068078081,0.9465993587306915
438,6,14,16,8.509812336356186,3.59059020218125,5.311224905800918,-0.6098178198761601,-0.9008826816584031,0.5636813388347258
439,6,15,16,6.61146201683107,1.338229427265743,5.311224905800918,0.9465993587306915,0.23047607353295727,0.5636813388347258
440,7,8,9,1.51790579417828,1.5000043333270756,2.523901939458029,0.052865876661780914,0.07073287919500554,-0.8152180616300908
441,7,8,10,1.51790579417828,2.5117565566750324,3.5715919419776965,0.052865876661780914,-0.8081240601016838,-0.9089660463249608
442,7,8,11,1.51790579417828,2.762980274992929,3.8250388233323847,0.052865876661780914,-0.9291784385249969,-0.7754011782906741
443,7,8,12,1.51790579417828,3.7506971352003373,4.702560260113634,0.052865876661780914,-0.8201607024625039,-0.009828562023293927
444,7,8,13,1.51790579417828,4.205015695571186,5.007295577454962,0.052865876661780914,-0.48588311414604846,0.29065048073228733
445,7,8,14,1.51790579417828,5.543062059908765,6.305556993636644,0.052865876661780914,0.7383854489763142,0.999749764259551
446,7,8,15,1.51790579417828,3.717609043457907,4.3409612990672946,0.052865876661780914,-0.8386391208815646,-0.3629461293102071
447,7,8,16,1.51790579417828,2.4769596282539634,3.096187817300496,0.052865876661780914,-0.787143177204152,-0.9989693774998972
448,7,9,10,2.523901939458029,1.402132661341289,3.5715919419776965,-0.8152180616300908,0.16786512742452592,-0.9089660463249608
449,7,9,11,2.523901939458029,2.2799923245484863,3.8250388233323847,-0.8152180616300908,-0.6512238357562826,-0.7754011782906741
450,7,9,12,2.523901939458029,2.377300990619405,4.702560260113634,-0.8152180616300908,-0.721872726022373,-0.009828562023293927
451,7,9,13,2.523901939458029,2.7050822538325905,5.007295577454962,-0.8152180616300908,-0.9062325099489531,0.29065048073228733
452,7,9,14,2.523901939458029,4.043187356529498,6.305556993636644,-0.8152180616300908,-0.6203600046736052,0.999749764259551
453,7,9,15,2.523901939458029,2.352245310336488,4.3409612990672946,-0.8152180616300908,-0.7043087825698406,-0.3629461293102071
454,7,9,16,2.523901939458029,1.3643012863733583,3.096187817300496,-0.8152180616300908,0.20503066760540342,-0.9989693774998972
455,7,10,11,3.5715919419776965,1.2385382513269452,3.8250388233323847,-0.9089660463249608,0.32617843545509523,-0.7754011782906741
456,7,10,12,3.5715919419776965,1.357930778795443,4.702560260113634,-0.9089660463249608,0.2112616346720591,-0.009828562023293927
